market,funding_rounds.mn,funding_rounds.var,funding_total_usd.mn,funding_total_usd.var,venture.mn,venture.var,seed.mn,seed.var,n
 Sales and Marketing ,2.137254902,1.800784314,8383977.196,2.11763E+14,7041575.471,1.64461E+14,454343.6275,7.31623E+11,51
 Startups ,1.666666667,1.186666667,4643378.373,9.88804E+13,3992684.569,9.05049E+13,520693.8039,9.81633E+11,51
 Legal ,1.897959184,1.510204082,10400280.16,1.46435E+15,5313288.898,1.5029E+14,410185.9184,4.55326E+11,49
 Digital Media ,1.9375,1.506648936,12681381.75,1.30893E+15,7531312.188,2.47738E+14,823524.2708,2.5771E+12,48
 Internet of Things ,2.19047619,3.036004646,13093244.29,1.44645E+15,8424070.952,1.06374E+15,582267.8571,9.05887E+11,42
 Nanotechnology ,3.119047619,4.058652729,20396413.02,8.6901E+14,16780673.07,6.01293E+14,313839.4286,6.83945E+11,42
 Consumer Electronics ,2.073170732,4.369512195,33882336.59,9.7543E+15,18581564.51,3.35244E+15,350175.6098,1.097E+12,41
 Retail ,1.829268293,1.195121951,13910389.02,6.63891E+14,9424157.878,4.47064E+14,487341.4634,5.09785E+11,41
 Public Transportation ,2.2,3.292307692,24557453.53,3.79633E+15,15019192.9,1.17709E+15,2892614.7,2.4853E+14,40
 Internet Marketing ,2.179487179,1.730094467,7022560.051,1.36138E+14,6324880.564,1.39995E+14,277641.0256,2.33934E+11,39
 Transportation ,2.461538462,4.728744939,57943721.41,5.97677E+16,55251721.41,5.9752E+16,410846.1538,6.20727E+11,39
 Web Development ,1.717948718,1.628879892,13550425.41,1.93229E+15,12945930.1,1.80853E+15,266033.7692,2.05331E+11,39
 Wireless ,3.027027027,5.749249249,42651678.46,3.00455E+15,30591415.35,9.71546E+14,8783.783784,2854729730,37
 Android ,2.333333333,3.542857143,5408673.111,5.79573E+13,4789784.222,5.80601E+13,340833.3333,4.15E+11,36
 Financial Services ,1.555555556,0.768253968,8567569.333,2.45945E+14,6406431.75,2.10063E+14,617109.8056,1.42999E+12,36
 Information Technology ,2.228571429,5.593277311,22337360.51,4.40881E+15,12828679.17,5.42831E+14,399837.2571,5.22058E+11,35
 Payments ,2.542857143,2.549579832,25533424,1.99244E+15,18053709.71,1.40531E+15,648371.4286,1.73691E+12,35
 Publishing ,2.342857143,2.58487395,9776665.543,2.33347E+14,9298109.714,2.35461E+14,217984.4,3.09976E+11,35
 Video Streaming ,2.441176471,1.890374332,27164282.82,9.78323E+15,7942416.088,1.61513E+14,377658.2059,5.39741E+11,34
 Enterprises ,2.818181818,5.590909091,11086285.03,3.51532E+14,9677147.97,3.67313E+14,446333.3333,4.26747E+11,33
 Recruiting ,2,2.0625,9926099.091,4.04421E+14,9406068.788,4.04517E+14,383666.6667,9.32769E+11,33
 Brand Marketing ,2.875,3.85483871,10755375.13,3.9515E+14,9941592.25,3.83441E+14,416356.25,4.86302E+11,32
 Human Resources ,2.3125,2.350806452,15444389,1.33624E+15,14094902.56,1.34988E+15,581656.25,7.17928E+11,32
 Content ,2.612903226,1.778494624,11204471.55,3.76993E+14,10452670.61,3.80471E+14,613294.2258,6.25574E+11,31
 Collaboration ,3.3,3.94137931,15306840.83,4.48025E+14,14283249.1,4.15842E+14,592666.6667,1.32095E+12,30
 Hardware ,2.266666667,2.47816092,33313778.07,9.05084E+15,15494447.5,1.24346E+15,151866.6667,3.09193E+11,30
 iPhone ,1.862068966,0.980295567,5643823.517,7.30834E+13,4918965.517,7.17294E+13,316034.4828,4.04779E+11,29
 Marketing Automation ,3.24137931,5.332512315,22763055.28,1.58197E+15,15371280.9,5.18728E+14,684170.7586,1.26824E+12,29
 Services ,1.827586207,1.433497537,32382009.38,1.05512E+16,11690526.62,6.05574E+14,223724.1379,3.28477E+11,29
 Big Data Analytics ,2.428571429,2.55026455,17415135.82,1.13646E+15,12089180.25,3.05702E+14,298098.4286,3.33613E+11,28
 Health Care Information Technology ,2.285714286,2.878306878,7263040.679,1.27138E+14,6393960.321,1.2562E+14,399116.0714,5.42497E+11,28
 Business Services ,2.148148148,3.054131054,28124457.56,1.3327E+15,26834160.63,1.35105E+15,148592.2222,2.04223E+11,27
 Crowdsourcing ,2.148148148,3.438746439,11954663.56,9.01322E+14,11354915.52,9.04892E+14,571111.1111,3.98645E+11,27
 Pharmaceuticals ,1.888888889,2.102564103,35055282.7,3.85958E+15,20922912.33,9.76129E+14,324592.5926,1.08523E+12,27
 Email ,2,1.68,7399717.923,1.84526E+14,6154823.692,1.61382E+14,325038.4615,5.35261E+11,26
 Location Based Services ,2,1.6,10324060.81,9.95998E+14,7925812.462,5.51721E+14,342500,3.30663E+11,26
 Storage ,2.730769231,2.764615385,45089024.77,8.57367E+15,43559794,8.62237E+15,144807.6923,2.70701E+11,26
 Communities ,2.28,4.626666667,101235283.2,2.34609E+17,27803000,1.50712E+16,232839.84,1.46366E+11,25
 Facebook Applications ,2,1.416666667,5080246.36,5.9301E+13,3780446.36,3.43152E+13,296800,3.53E+11,25
 Local Businesses ,1.76,1.356666667,3985724.76,7.92868E+13,2086165.72,3.1228E+13,394961,7.54171E+11,25
 Mobile Commerce ,1.64,0.656666667,3020820.16,1.51889E+13,2165026.84,1.42263E+13,583973.32,5.32497E+11,25
 Restaurants ,2.4,2.666666667,5728896.8,1.48525E+14,2741578,2.91175E+13,497500.24,1.05252E+12,25
 Reviews and Recommendations ,2,1.833333333,7891119.16,1.25717E+14,7130229.2,1.35288E+14,455600,8.77876E+11,25
 Bitcoin ,1.833333333,1.101449275,7220810.125,1.21087E+14,5615624.958,1.24842E+14,1360092.042,2.07591E+12,24
 Social Commerce ,2.041666667,1.346014493,7966201.458,2.25481E+14,6355202.875,2.10844E+14,626144.4167,8.71614E+11,24
 Customer Service ,2.217391304,1.723320158,17235806.26,9.87104E+14,16755936.7,9.99568E+14,369565.2174,6.86986E+11,23
 Local ,2.086956522,0.992094862,10889167.22,4.23633E+14,9856123.739,3.82299E+14,939782.6087,3.12011E+12,23
 Shopping ,2.47826087,3.71541502,16962546.96,2.39337E+15,14881677.39,2.12874E+15,388260.8696,7.72363E+11,23
 Small and Medium Businesses ,1.695652174,1.130434783,3654139.13,4.17484E+13,2767391.304,3.98156E+13,591965.2174,9.201E+11,23
 Cloud Data Services ,2.863636364,4.409090909,81216283.14,5.44443E+16,56890137.68,1.70952E+16,545677.2727,1.26598E+12,22
 Social Media Marketing ,2.045454545,0.997835498,5586220.091,1.01459E+14,4482717.045,9.10703E+13,557727.2727,7.59142E+11,22
 Databases ,3.095238095,3.19047619,18774486.86,3.53601E+14,17601399.86,3.62549E+14,893809.5238,1.9294E+12,21
 Finance Technology ,2.095238095,1.49047619,18617664.38,2.64802E+15,6235020.476,1.92578E+14,609548.6667,5.38149E+11,21
 Mobile Payments ,2.571428571,4.357142857,14903274.38,8.2181E+14,9290476.19,1.89126E+14,321555.1905,3.84562E+11,21
 Photo Sharing ,1.904761905,0.69047619,3987339.19,3.7404E+13,2995235.048,4.09965E+13,690375,9.74569E+11,21
 Consumer Goods ,1.8,1.221052632,4525142.2,5.65315E+13,3062106.55,4.24327E+13,1022500,2.83401E+12,20
 Events ,1.9,3.568421053,13271374.95,1.97166E+15,9806749.95,9.77509E+14,303875,2.79483E+11,20
 Television ,2.35,3.502631579,16978201.8,6.58785E+14,16431205.45,6.54981E+14,160750,84495460526,20
 Venture Capital ,1.7,0.852631579,8535650,2.9102E+14,4456500,8.77581E+13,280650,3.18695E+11,20
 B2B ,2.052631579,2.052631579,6310734.105,1.2517E+14,5517313.053,1.30488E+14,793421.0526,1.47726E+12,19
 Consumer Internet ,1.789473684,0.953216374,4434529.316,2.68709E+13,3432687.211,2.49085E+13,584736.8421,1.55854E+12,19
 Consumers ,1.842105263,4.251461988,23400140.11,4.23224E+15,11982482.32,2.02788E+15,284736.8421,3.24604E+11,19
 CRM ,2.315789474,1.561403509,7092348.526,9.34556E+13,6292892.368,8.69008E+13,572263.1579,1.53937E+12,19
 Open Source ,2.473684211,3.152046784,15309173.89,1.03098E+15,7098990.737,1.51657E+14,3688789.474,2.13648E+14,19
 Pets ,1.578947368,1.368421053,6558556.947,1.40213E+14,6123662.211,1.41252E+14,164368.4211,1.96505E+11,19
 Predictive Analytics ,2.578947368,1.923976608,23070474.63,1.63589E+15,16582211.47,1.06406E+15,430368.4211,6.33414E+11,19
 Telecommunications ,2,2,49720813.26,7.56779E+15,12017532.11,4.09354E+14,257000,6.57177E+11,19
 Career Management ,2.166666667,1.558823529,8897716.444,1.99227E+14,8082716.444,2.09722E+14,455555.5556,5.41732E+11,18
 Energy ,2.222222222,3.359477124,34648891.06,2.36097E+15,26524239.17,1.97802E+15,255555.5,5.09379E+11,18
 Fitness ,2.222222222,1.594771242,4141404.389,1.01938E+14,3167500,1.07173E+14,905070,1.21984E+12,18
 Mobile Games ,1.777777778,1.359477124,19581860,3.45421E+15,19016025,3.43938E+15,100694.4444,79788092320,18
 Virtualization ,2.388888889,3.781045752,26072742.22,1.22858E+15,25497432.22,1.24159E+15,288888.8889,4.90458E+11,18
 iOS ,2.470588235,3.389705882,10229423.76,5.51381E+14,9507482.588,5.61617E+14,555764.7059,8.00722E+11,17
 Advertising Platforms ,1.9375,1.6625,11524000,3.43733E+14,11129687.5,3.45695E+14,258125,2.64323E+11,16
 Beauty ,2.0625,1.129166667,11762703.31,3.1625E+14,10330257.94,2.95304E+14,1243020.688,2.34479E+12,16
 Cloud Management ,2.6875,6.095833333,25647354,3.04151E+15,25093291.5,3.00047E+15,118750,1.32292E+11,16
 Home Automation ,2.25,1.4,13789729.5,5.69753E+14,12234375,5.48256E+14,510187.5,6.61323E+11,16
 Mobile Advertising ,2.5625,2.929166667,11281875,2.11242E+14,9413437.5,1.50256E+14,649687.5,9.21575E+11,16
 PaaS ,2.3125,1.5625,15254832.75,2.68605E+14,13892645.25,2.36713E+14,750000,1.89633E+12,16
 Peer-to-Peer ,3.1875,8.695833333,69916974.31,2.177E+16,29470099.31,2.18627E+15,1040625,4.48999E+12,16
 Productivity Software ,1.625,0.383333333,5331624.875,9.1703E+13,4898437.375,8.81324E+13,401937.5,3.74789E+11,16
 Real Time ,2.125,1.45,8871184.688,1.44074E+14,8253125,1.44734E+14,531404.6875,9.60404E+11,16
 Web Tools ,2.1875,1.095833333,10244748.56,1.72199E+14,9634123.625,1.81746E+14,185624.9375,1.59589E+11,16
 Business Intelligence ,2.866666667,1.980952381,16259153.33,3.70897E+14,13220820,3.05209E+14,213333.3333,2.46952E+11,15
 Developer APIs ,2.066666667,1.495238095,6257600,1.09548E+14,5210000,1.16397E+14,801333.3333,1.52858E+12,15
 Market Research ,2.8,3.742857143,18713236.8,1.4804E+15,7913535.933,1.14551E+14,271969.6,2.50937E+11,15
 Online Shopping ,2.4,2.828571429,14574628.47,7.39825E+14,13159628.67,7.14552E+14,353333.3333,5.72081E+11,15
 Therapeutics ,3.466666667,2.123809524,51124721.27,2.06591E+15,34298688.6,1.12661E+15,287999.9333,6.74731E+11,15
 Tracking ,2.8,7.457142857,11972219.93,4.28582E+14,11089219.93,4.01413E+14,274000,2.02783E+11,15
 Twitter Applications ,2.066666667,2.352380952,10002390.2,3.60795E+14,9216686.067,3.33562E+14,535537.4667,2.75964E+12,15
 Banking ,1.285714286,0.373626374,31627168,3.98091E+15,4632857.143,4.7305E+13,1453.714286,29585993.14,14
 Chat ,1.785714286,0.950549451,13612500,6.51145E+14,12185714.29,6.52238E+14,469642.8571,1.02636E+12,14
 Clean Energy ,2.214285714,1.258241758,15962571.43,7.40083E+14,12714500,7.26857E+14,464500,9.19791E+11,14
 Electronics ,3,5.230769231,17103273.79,6.81356E+14,14932791.79,4.5129E+14,7142.857143,714285714.3,14
 File Sharing ,3.5,11.80769231,62664665.86,2.30706E+16,60565351.71,2.28309E+16,393857.1429,6.15472E+11,14
 Kids ,1.642857143,0.862637363,3684681.357,2.00342E+13,2791109.929,1.7486E+13,633928.5714,8.16501E+11,14
 Life Sciences ,2.214285714,2.642857143,18124768.07,1.01128E+15,14374228.57,6.50143E+14,470000,5.38646E+11,14
 Network Security ,3,5.538461538,72469729.86,4.70057E+16,18775460.14,6.14086E+14,514285.7143,1.47978E+12,14
 Optimization ,3.071428571,2.686813187,27292550.93,1.61391E+15,26127840.36,1.66924E+15,567142.8571,6.42807E+11,14
 Blogging Platforms ,3,2.333333333,9983961.846,1.74867E+14,9033731.077,1.82184E+14,782923.0769,2.7095E+12,13
 Cloud Infrastructure ,3.538461538,3.769230769,23422980,6.79528E+14,22255133.77,6.89436E+14,288076.9231,3.06015E+11,13
 Data Security ,2.384615385,2.756410256,34637715.31,6.31786E+15,19126099.92,8.99957E+14,284615.3846,3.93494E+11,13
 Hospitals ,2,2.833333333,12566901.08,2.2864E+14,10430749.69,2.22986E+14,47689.84615,24816445207,13
 Hotels ,3,3,17431631.77,5.59388E+14,16203915.54,5.815E+14,1118100.846,1.99815E+12,13
 Maps ,2.307692308,3.230769231,9884470.077,7.72443E+14,8636407.462,6.96397E+14,244000,2.00654E+11,13
 Training ,1.307692308,0.230769231,3892230.846,5.46686E+13,3476923.154,5.41653E+13,381846.1538,6.3416E+11,13
 App Marketing ,1.75,0.568181818,7540019.083,8.43449E+13,4600092.583,2.96382E+13,108750,68736931818,12
 Art ,1.25,0.204545455,1541833.333,5.12838E+12,1275000,4.41659E+12,191666.6667,93033333333,12
 Artificial Intelligence ,1.5,0.454545455,2504500,1.32162E+13,2139166.667,1.44048E+13,167416.6667,1.50211E+11,12
 Auctions ,1.833333333,1.96969697,8016799.167,1.49183E+14,7118924.167,1.57885E+14,18708.33333,1259111742,12
 Audio ,1.916666667,2.083333333,9439608.333,1.35799E+14,9054608.333,1.32847E+14,260000,7.45382E+11,12
 Colleges ,2.25,3.295454545,11774708.5,7.29811E+14,11150291.92,7.36407E+14,219833.3333,1.26543E+11,12
 Communications Hardware ,3.833333333,5.96969697,113469517.5,1.41132E+16,58993907.83,3.43647E+15,0,0,12
 Coupons ,1.583333333,0.992424242,3927916.667,5.52889E+13,3582083.333,5.44732E+13,325000,8.68755E+11,12
 Data Integration ,3.333333333,1.333333333,28327388.5,1.43936E+15,19520075.83,4.71043E+14,625833.3333,1.77837E+12,12
 Data Visualization ,2.25,4.386363636,8537591,2.59245E+14,6843841,1.99659E+14,521500,1.48213E+12,12
 Displays ,2.583333333,2.083333333,43455010.25,7.22425E+15,13967083.33,4.14851E+14,264583.3333,7.43234E+11,12
 Food Processing ,1,0,64745833.33,4.65793E+16,1812500,1.17855E+13,306250,3.55241E+11,12
 iPad ,1.75,1.113636364,3405485.333,1.72786E+13,3143402,1.69763E+13,84583.33333,66761174242,12
 Lead Generation ,1.916666667,2.083333333,20331082.25,3.60043E+15,2014583.333,3.49719E+13,575156.9167,4.90163E+11,12
 Loyalty Programs ,3.916666667,8.265151515,18120447.17,4.18199E+14,17234030.5,4.08298E+14,652083.3333,6.88688E+11,12
 Machine Learning ,1.666666667,0.606060606,3509812.25,1.28855E+13,3137798.083,1.35826E+13,338201.6667,3.43203E+11,12
 Personalization ,2,2.909090909,6255227.417,1.00583E+14,5612727.417,1.01395E+14,302916.6667,2.92057E+11,12
 SEO ,1.916666667,0.992424242,7582166.667,8.45093E+13,7345833.333,8.75416E+13,209666.6667,1.54846E+11,12
 Agriculture ,2.090909091,1.090909091,20675337.55,1.02121E+15,19367373.73,9.57962E+14,3030.272727,101008080.8,11
 Computers ,2.727272727,3.218181818,18969491.73,3.9343E+14,17360400.82,2.79762E+14,136363.6364,80545454545,11
 Crowdfunding ,1.727272727,0.418181818,3396772.727,5.19606E+13,2881818.182,5.37481E+13,374045.4545,2.88966E+11,11
 Data Centers ,2.181818182,2.163636364,26495110.27,1.5459E+15,26136019.36,1.54621E+15,0,0,11
 Developer Tools ,2.181818182,1.563636364,5587778.455,3.47119E+13,3109090.909,1.73789E+13,1499110.273,1.08544E+12,11
 E-Commerce Platforms ,2.181818182,1.763636364,5994425,1.4252E+14,5514117.182,1.48016E+14,246818.1818,1.89911E+11,11
 Employment ,2,1.8,5964090.909,1.40543E+14,4729545.455,1.13371E+14,652727.2727,6.32557E+11,11
 Energy Efficiency ,2.272727273,1.618181818,27432985.36,4.44383E+15,26129124.45,4.22113E+15,361588.1818,4.96459E+11,11
 Lifestyle ,2.454545455,2.672727273,31881363.64,5.975E+15,29545454.55,5.71459E+15,580000,4.68E+11,11
 Mobile Security ,3.454545455,5.072727273,46782398.18,2.29053E+15,46497726.64,2.28872E+15,195580.6364,1.60215E+11,11
 Online Rental ,1.454545455,0.872727273,4653038.545,6.0408E+13,4196498.818,6.16985E+13,229267,2.60855E+11,11
 Politics ,1.727272727,1.018181818,6180437.909,7.94741E+13,4568181.818,7.83511E+13,309727,3.49715E+11,11
 Risk Management ,2,3.2,23433264.36,1.4627E+15,21556818.18,1.45358E+15,1114545.455,3.53537E+12,11
 SMS ,2.545454545,3.272727273,13371975.45,1.30862E+15,8621157.273,5.41288E+14,332636.3636,3.83638E+11,11
 Solar ,5.454545455,15.27272727,264588555.5,9.40274E+16,86583989.55,2.94188E+16,277272.7273,4.71682E+11,11
 VoIP ,2.363636364,2.854545455,14802901.91,4.53448E+14,12454192.18,4.02879E+14,212272.7273,2.12577E+11,11
 Ediscovery ,2.1,2.1,8137188.4,1.36709E+14,3804268.7,8.08619E+13,705700,1.42493E+12,10
 Event Management ,2.1,0.988888889,14066549.9,1.86318E+15,50000,2.50E+10,177250,72170069444,10
 Home & Garden ,2.9,4.1,29027119,4.83471E+15,28312119,4.86585E+15,495500,1.27901E+12,10
 Oil & Gas ,1.7,2.455555556,59102346.4,2.4733E+16,8540146.4,7.26216E+14,44170,15803222333,10
 Personal Finance ,2.9,7.433333333,30734959,3.28514E+15,20226959,8.31821E+14,553000,1.02582E+12,10
 Sales Automation ,3,1.555555556,11903800,2.89711E+14,10205000,3.21476E+14,1356800,3.89764E+12,10
 Semantic Search ,2.1,2.1,19891969.8,2.52209E+15,18540000,2.53E+15,357500,3.26418E+11,10
 Social Games ,2,0.666666667,3111568.5,1.48222E+13,2492061,1.64167E+13,239500.2,3.13003E+11,10
 Commercial Real Estate ,2,1.5,5052777.778,4.21451E+13,4108333.333,3.71E+13,583333.3333,7.11E+11,9
 Construction ,3.333333333,14,123221262.8,1.19543E+17,13443151.67,4.16698E+14,662555.5556,1.30992E+12,9
 Distribution ,1.777777778,1.194444444,18827153.56,2.72676E+15,944444.4444,7.01215E+12,146444.4444,1.09264E+11,9
 Fantasy Sports ,2.222222222,3.694444444,19113510.22,1.25144E+15,18005804.33,1.26724E+15,818817,2.31558E+12,9
 Flash Storage ,2.777777778,2.694444444,23910305.56,5.37971E+14,20779749.78,5.92688E+14,2777.777778,69444444.44,9
 Gamification ,1.888888889,1.111111111,1014889,2.23723E+12,577777.8889,2.41694E+12,395888.8889,3.24652E+11,9
 Healthcare Services ,2.111111111,1.111111111,18137172.11,4.32243E+14,17145505.44,4.05506E+14,358333.3333,4.87E+11,9
 Price Comparison ,2,1.25,3797333.333,1.47E+13,2331777.778,1.83154E+13,711111.1111,1.08111E+12,9
 Project Management ,1.444444444,0.527777778,2542157.222,2.00615E+13,2214379.444,2.15048E+13,123888.8889,67448611111,9
 Subscription Businesses ,2.555555556,2.277777778,7092393.778,1.51413E+14,6028504.889,1.53873E+14,230555.5556,2.18228E+11,9
 Utilities ,1.666666667,1,48274942,1.69435E+16,31792298.67,6.73665E+15,36444.44444,5313777778,9
 Video Games ,1.666666667,0.75,16757475.78,9.45131E+14,15684142.44,9.25403E+14,238888.8889,2.68611E+11,9
 Web Design ,1.777777778,0.694444444,1972222.222,7.08444E+12,877777.7778,3.86757E+12,522222.2222,6.38819E+11,9
 Weddings ,1.555555556,0.527777778,3135000,2.54984E+13,2833333.333,2.73E+13,220555.5556,1.25084E+11,9
 3D ,1.75,0.214285714,3795278.5,4.73734E+13,3059375,5.15686E+13,592153.5,9.16596E+11,8
 Aerospace ,2.5,2.285714286,27173446.38,1.17814E+15,25550000,1.20881E+15,1125321.375,2.40716E+12,8
 Cloud Security ,3.25,5.642857143,32382730.63,5.84487E+14,31920230.63,6.00868E+14,462500,7.68393E+11,8
 Collaborative Consumption ,2,1.428571429,2543750,5.64817E+12,1156250,4.58817E+12,1175000,7.30714E+11,8
 Development Platforms ,2.25,1.642857143,12958675,3.47061E+14,11425000,3.76179E+14,456750,8.00679E+11,8
 Email Marketing ,2.75,2.214285714,35401765.5,1.84539E+15,34153187,1.912E+15,342328.5,9.3751E+11,8
 IaaS ,2.75,2.5,12701657.88,3.82563E+14,11071907.88,4.05302E+14,973500,1.94233E+12,8
 Information Services ,1.5,0.285714286,5527857.75,8.78974E+13,5213607.75,9.14959E+13,303125,1.50792E+11,8
 Logistics ,1.5,0.571428571,3135625,2.00419E+13,2298750,1.74112E+13,799375,1.04443E+12,8
 Mobile Devices ,1.75,3.071428571,9147558.625,5.05909E+14,8237308.625,5.19403E+14,872750,3.71336E+12,8
 Parenting ,1.375,1.125,1287444.5,4.33829E+12,378069.5,8.02478E+11,820000,4.39E+12,8
 Privacy ,2.125,0.696428571,21624618.75,1.13781E+15,20361875,1.18155E+15,932118.75,3.14057E+12,8
 Social Search ,1.75,1.357142857,6376875,1.4242E+14,5925000,1.48E+14,451875,6.75028E+11,8
 Sustainability ,2,2.571428571,23311359.38,3.6446E+15,1660109.375,6.65377E+12,401250,8.07441E+11,8
